index,word,idf
902,individual,3.6785277618358885
903,indoor,4.2518737425832125
904,industrial,4.7414219679019185
905,industry,3.7155690335162372
906,infant,5.6064194053885235
907,infantry,5.200954297280359
908,infected,5.287965674269989
909,infection,5.1209115896068225
910,infectious,5.739950798013046
911,influence,4.641338509344936
912,info,4.795489189172194
913,information,3.1425661647983554
914,ingredient,4.594818493710044
915,initially,4.55036673113921
916,initiative,4.641338509344936
917,injury,4.427764409046877
918,inquiry,4.852647603012143
919,inside,4.55036673113921
920,instance,4.641338509344936
921,instead,3.511473677172722
922,institute,4.3900240810640305
923,institution,4.690128673514368
924,intended,4.55036673113921
925,interactive,4.913272224828578
926,interest,3.4517544424711
927,interested,4.130512885578946
928,interface,4.913272224828578
929,internal,4.690128673514368
930,international,3.2914117923959205
931,internet,3.66050925633321
932,interview,4.690128673514368
933,introduced,4.427764409046877
934,introduction,4.690128673514368
935,invasion,4.795489189172194
936,investigation,4.5078071167204135
937,investment,4.427764409046877
938,involved,3.8791984572980396
939,iraq,4.7414219679019185
940,iraqi,5.894101477840304
941,ireland,4.427764409046877
942,isbn,5.739950798013046
943,island,4.852647603012143
944,issue,3.208524132590153
945,issued,4.594818493710044
946,italian,5.1209115896068225
947,italy,4.3900240810640305
948,item,4.641338509344936
949,james,4.074943034424135
950,january,3.4962062050419336
951,japan,4.074943034424135
952,japanese,4.220125044268633
953,jb,6.58724865840025
954,jewish,5.6064194053885235
955,job,3.5587265620232675
956,john,3.511473677172722
957,johnson,4.641338509344936
958,join,4.690128673514368
959,joined,4.690128673514368
960,jones,4.7414219679019185
961,journal,4.427764409046877
962,journalist,5.1209115896068225
963,judge,4.795489189172194
964,juice,5.200954297280359
965,july,4.189353385601879
966,jump,4.795489189172194
967,june,4.074943034424135
968,jupiter,5.200954297280359
969,justice,4.852647603012143
970,keen,4.795489189172194
971,keep,3.4231810700270437
972,kelly,4.594818493710044
973,ken,4.55036673113921
974,kennedy,4.913272224828578
975,kenteris,5.046803617453101
976,kept,4.318565117081885
977,key,3.7540353143440335
978,killed,4.318565117081885
979,kind,4.074943034424135
980,king,4.3900240810640305
981,kingdom,4.641338509344936
